日期,收盘,开盘,高,低,交易量,涨跌幅
2015年4月10日,"44,882.01","44,913.94","45,009.61","44,745.03",173.25M,-0.07%
2015年4月9日,"44,913.27","44,980.56","45,218.75","44,891.79",196.61M,-0.15%
2015年4月8日,"44,980.56","44,994.30","45,333.97","44,902.48",260.47M,-0.02%
2015年4月7日,"44,987.87","44,857.07","45,181.42","44,674.95",246.90M,0.31%
2015年4月6日,"44,850.06","44,202.87","44,897.03","43,833.89",179.64M,1.46%
2015年4月1日,"44,202.94","43,709.49","44,216.75","43,697.45",190.83M,1.09%
2015年3月31日,"43,724.78","43,916.10","43,916.10","43,596.87",190.69M,-0.45%
2015年3月30日,"43,922.83","43,631.23","44,015.94","43,571.35",150.42M,0.65%
2015年3月27日,"43,637.97","43,231.45","43,656.38","43,096.73",188.23M,0.95%
2015年3月26日,"43,229.16","43,610.59","43,610.59","43,099.48",209.76M,-0.92%
2015年3月25日,"43,630.96","44,040.97","44,212.28","43,630.59",158.66M,-0.95%
2015年3月24日,"44,051.21","43,947.32","44,242.57","43,943.32",166.96M,0.22%
2015年3月23日,"43,952.71","43,968.15","44,056.98","43,840.67",143.57M,-0.04%
2015年3月20日,"43,968.15","44,117.94","44,325.94","43,739.47",420.32M,-0.34%
2015年3月19日,"44,118.17","44,354.94","44,441.15","43,920.28",211.19M,-0.55%
2015年3月18日,"44,360.87","43,756.78","44,360.87","43,490.09",275.78M,1.37%
2015年3月17日,"43,761.36","43,997.45","43,998.72","43,761.36",177.21M,-0.55%
2015年3月13日,"44,002.29","44,055.89","44,140.26","43,703.97",185.28M,-0.12%
2015年3月12日,"44,055.89","43,228.09","44,056.11","43,176.51",184.38M,1.92%
2015年3月11日,"43,227.20","42,978.60","43,310.38","42,929.52",230.53M,0.59%
2015年3月10日,"42,972.15","43,246.57","43,246.57","42,674.25",182.92M,-0.65%
2015年3月9日,"43,251.40","43,280.81","43,350.29","43,003.99",149.76M,-0.07%
2015年3月6日,"43,280.81","43,510.24","43,517.17","43,129.82",208.32M,-0.54%
2015年3月5日,"43,517.79","43,284.43","43,783.00","43,155.85",260.84M,0.51%
2015年3月4日,"43,296.55","43,598.21","43,605.14","43,130.52",196.02M,-0.70%
2015年3月3日,"43,600.37","43,875.74","43,906.16","43,519.68",229.58M,-0.64%
2015年3月2日,"43,882.71","44,179.93","44,279.33","43,560.85",245.86M,-0.70%
2015年2月27日,"44,190.17","44,408.33","44,439.99","43,983.14",385.08M,-0.51%
2015年2月26日,"44,416.49","43,798.73","44,417.29","43,723.60",198.55M,1.40%
2015年2月25日,"43,802.07","43,915.36","44,008.94","43,635.04",242.26M,-0.27%
2015年2月24日,"43,921.55","43,672.10","44,033.67","43,629.31",255.01M,0.56%
2015年2月23日,"43,675.87","43,536.84","43,680.42","43,446.65",162.65M,0.29%
2015年2月20日,"43,551.26","43,223.88","43,569.55","43,080.62",162.69M,0.74%
2015年2月19日,"43,231.42","43,043.15","43,310.87","42,865.20",154.62M,0.41%
2015年2月18日,"43,053.65","43,246.40","43,484.77","42,823.85",286.68M,-0.46%
2015年2月17日,"43,251.79","42,959.56","43,264.39","42,613.68",152.71M,0.68%
2015年2月16日,"42,959.56","43,074.03","43,141.89","42,886.15",26.25M,-0.26%
2015年2月13日,"43,072.42","43,032.08","43,250.39","42,954.94",152.96M,0.06%
2015年2月12日,"43,045.51","41,925.72","43,046.88","41,897.32",185.71M,2.65%
2015年2月11日,"41,933.26","42,630.07","42,630.45","41,901.11",226.96M,-1.65%
2015年2月10日,"42,635.19","42,811.36","43,159.09","42,635.15",252.31M,-0.41%
2015年2月9日,"42,810.29","42,705.26","42,876.95","42,474.83",187.70M,0.22%
2015年2月6日,"42,715.43","42,447.45","42,880.35","42,447.45",238.82M,0.62%
2015年2月5日,"42,453.64","41,709.68","42,469.16","41,708.58",328.44M,1.78%
2015年2月4日,"41,710.82","41,572.24","42,055.25","41,553.11",203.35M,0.33%
2015年2月3日,"41,572.24","40,954.62","41,868.38","40,944.81",230.36M,1.52%
2015年1月30日,"40,950.58","41,862.63","41,864.22","40,886.86",242.05M,-2.18%
2015年1月29日,"41,862.33","42,150.81","42,157.18","41,762.42",182.63M,-0.70%
2015年1月28日,"42,158.07","42,627.82","42,743.47","42,158.07",171.12M,-1.10%
2015年1月27日,"42,627.82","42,737.85","42,737.85","42,128.23",166.08M,-0.26%
2015年1月26日,"42,737.85","42,649.10","42,831.75","42,360.73",182.97M,0.21%
2015年1月23日,"42,649.72","43,123.17","43,124.44","42,618.03",177.29M,-1.09%
2015年1月22日,"43,121.28","42,489.38","43,165.56","42,488.82",269.59M,1.49%
2015年1月21日,"42,488.73","41,753.48","42,491.10","41,594.09",241.14M,1.76%
2015年1月20日,"41,752.67","41,286.58","41,974.00","41,129.12",210.07M,1.13%
2015年1月19日,"41,285.58","41,412.18","41,566.93","41,210.06",46.25M,-0.28%
2015年1月16日,"41,402.01","40,999.06","41,402.08","40,859.69",192.28M,0.98%
2015年1月15日,"40,998.77","40,991.48","41,260.46","40,817.87",234.73M,0.04%
2015年1月14日,"40,984.22","41,478.38","41,479.78","40,907.48",309.31M,-1.19%
2015年1月13日,"41,478.26","41,781.04","42,211.09","41,313.35",190.47M,-0.72%
2015年1月12日,"41,780.78","42,373.81","42,408.65","41,773.38",175.24M,-1.42%
2015年1月9日,"42,382.41","42,393.17","42,504.41","41,940.49",151.92M,-0.05%
2015年1月8日,"42,402.31","41,819.04","42,554.41","41,814.21",193.29M,1.41%
2015年1月7日,"41,813.93","41,331.12","41,963.95","41,331.12",184.57M,1.17%
2015年1月6日,"41,329.41","41,101.01","41,456.62","40,723.66",212.48M,0.56%
2015年1月5日,"41,099.37","42,134.66","42,147.96","40,824.93",219.71M,-2.41%
2015年1月2日,"42,115.47","43,146.52","43,325.43","41,989.65",111.17M,-2.39%
2014年12月31日,"43,145.66","43,015.25","43,191.70","42,877.55",71.25M,0.30%
2014年12月30日,"43,018.75","43,179.57","43,340.56","42,872.17",92.21M,-0.39%
