日期,收盘,开盘,高,低,交易量,涨跌幅
2018年7月18日,"1,570.42","1,557.97","1,572.63","1,557.97",122.37M,0.89%
2018年7月17日,"1,556.61","1,554.89","1,566.75","1,550.84",118.30M,0.25%
2018年7月16日,"1,552.75","1,551.24","1,555.11","1,544.56",63.63M,0.12%
2018年7月13日,"1,550.88","1,542.52","1,554.17","1,542.52",60.04M,0.61%
2018年7月12日,"1,541.52","1,528.01","1,544.17","1,523.07",56.24M,1.00%
2018年7月11日,"1,526.29","1,547.21","1,547.21","1,524.75",66.17M,-1.43%
2018年7月10日,"1,548.38","1,541.28","1,551.37","1,540.83",61.01M,0.47%
2018年7月9日,"1,541.06","1,525.55","1,541.61","1,525.55",59.53M,1.11%
2018年7月6日,"1,524.17","1,526.86","1,535.70","1,511.83",77.67M,-0.16%
2018年7月5日,"1,526.61","1,522.74","1,536.05","1,521.20",73.83M,0.28%
2018年7月4日,"1,522.34","1,537.88","1,538.03","1,521.60",58.20M,-1.04%
2018年7月3日,"1,538.39","1,542.16","1,548.79","1,537.30",75.00M,-0.16%
2018年7月2日,"1,540.86","1,557.46","1,557.46","1,533.98",70.51M,-1.16%
2018年6月29日,"1,558.88","1,534.90","1,560.74","1,534.90",121.85M,1.78%
2018年6月28日,"1,531.66","1,539.78","1,543.24","1,521.24",102.08M,-0.60%
2018年6月27日,"1,540.88","1,528.93","1,550.14","1,514.61",89.25M,0.76%
2018年6月26日,"1,529.23","1,534.70","1,539.40","1,526.30",80.59M,-0.35%
2018年6月25日,"1,534.65","1,548.96","1,553.12","1,534.48",85.47M,-0.96%
2018年6月21日,"1,549.55","1,572.19","1,576.96","1,548.34",78.31M,-1.45%
2018年6月20日,"1,572.29","1,564.15","1,582.27","1,564.01",102.54M,0.47%
2018年6月19日,"1,564.87","1,559.99","1,565.62","1,542.38",102.85M,0.21%
2018年6月18日,"1,561.65","1,569.64","1,569.64","1,550.41",103.47M,-0.56%
2018年6月15日,"1,570.43","1,587.64","1,587.64","1,570.42",137.29M,-1.11%
2018年6月14日,"1,588.00","1,571.45","1,591.66","1,559.40",135.01M,1.08%
2018年6月13日,"1,571.07","1,573.10","1,575.47","1,563.54",96.09M,-0.08%
2018年6月12日,"1,572.27","1,573.01","1,577.04","1,566.71",89.46M,0.07%
2018年6月11日,"1,571.18","1,557.68","1,571.23","1,555.79",81.19M,0.98%
2018年6月8日,"1,555.87","1,554.96","1,562.36","1,542.09",84.50M,0.01%
2018年6月7日,"1,555.65","1,563.01","1,575.74","1,551.31",116.87M,-0.22%
2018年6月5日,"1,559.06","1,564.43","1,572.12","1,559.06",92.18M,-0.36%
2018年6月4日,"1,564.73","1,570.49","1,578.47","1,561.73",79.37M,-0.30%
2018年6月1日,"1,569.51","1,549.94","1,573.36","1,549.55",78.27M,1.26%
2018年5月31日,"1,549.94","1,563.69","1,572.41","1,544.83",169.71M,-0.81%
2018年5月30日,"1,562.54","1,572.45","1,574.65","1,559.66",97.90M,-0.62%
2018年5月29日,"1,572.30","1,579.49","1,579.49","1,554.94",94.29M,-0.58%
2018年5月28日,"1,581.52","1,589.01","1,598.35","1,577.43",58.24M,-0.34%
2018年5月25日,"1,586.98","1,594.57","1,603.04","1,584.91",85.94M,-0.41%
2018年5月24日,"1,593.57","1,602.12","1,612.78","1,588.03",80.95M,-0.53%
2018年5月23日,"1,602.10","1,621.90","1,621.90","1,597.76",87.94M,-1.38%
2018年5月22日,"1,624.44","1,627.23","1,632.30","1,617.15",82.90M,-0.11%
2018年5月21日,"1,626.25","1,622.18","1,634.76","1,622.18",68.35M,0.29%
2018年5月18日,"1,621.61","1,618.12","1,627.13","1,617.86",100.30M,0.16%
2018年5月17日,"1,618.95","1,602.28","1,618.95","1,602.28",74.42M,1.04%
2018年5月16日,"1,602.27","1,606.70","1,606.70","1,593.25",92.67M,-0.28%
2018年5月15日,"1,606.72","1,597.83","1,608.47","1,593.16",95.97M,0.51%
2018年5月14日,"1,598.58","1,603.69","1,607.40","1,593.66",93.56M,-0.29%
2018年5月11日,"1,603.25","1,616.67","1,619.79","1,601.12",109.49M,-0.84%
2018年5月9日,"1,616.80","1,608.64","1,623.04","1,603.06",70.68M,0.49%
2018年5月8日,"1,608.94","1,598.38","1,608.94","1,591.32",97.54M,0.69%
2018年5月7日,"1,597.93","1,577.54","1,600.44","1,577.15",72.85M,1.32%
2018年5月4日,"1,577.08","1,567.40","1,577.82","1,565.61",107.05M,0.65%
2018年5月3日,"1,566.96","1,591.05","1,591.05","1,564.76",116.40M,-1.51%
2018年5月2日,"1,590.97","1,574.88","1,592.12","1,574.88",142.84M,1.29%
2018年4月30日,"1,570.71","1,581.72","1,582.20","1,568.68",71.66M,-0.64%
2018年4月27日,"1,580.78","1,574.45","1,583.11","1,571.49",114.84M,0.45%
2018年4月26日,"1,573.76","1,557.46","1,575.22","1,552.02",135.52M,1.06%
2018年4月25日,"1,557.29","1,574.02","1,574.02","1,543.26",161.22M,-1.15%
2018年4月24日,"1,575.40","1,587.05","1,593.11","1,571.41",139.35M,-0.77%
2018年4月23日,"1,587.65","1,572.96","1,587.65","1,570.84",134.84M,0.96%
2018年4月20日,"1,572.58","1,558.39","1,576.98","1,556.89",211.26M,0.92%
2018年4月19日,"1,558.23","1,551.72","1,563.83","1,551.72",119.84M,0.37%
2018年4月18日,"1,552.48","1,545.16","1,553.88","1,542.97",44.50M,0.47%
2018年4月17日,"1,545.16","1,528.53","1,548.49","1,528.53",99.93M,1.24%
2018年4月16日,"1,526.27","1,526.69","1,533.74","1,524.22",86.49M,-0.03%
2018年4月13日,"1,526.66","1,520.56","1,534.04","1,517.40",102.22M,0.51%
2018年4月12日,"1,518.88","1,505.76","1,520.85","1,503.86",94.24M,0.94%
2018年4月11日,"1,504.71","1,526.47","1,526.47","1,498.80",113.15M,-1.44%
2018年4月10日,"1,526.76","1,513.11","1,526.99","1,513.11",89.06M,1.02%
2018年4月9日,"1,511.32","1,513.24","1,527.56","1,502.45",79.98M,0.00%
2018年4月6日,"1,511.37","1,526.42","1,526.42","1,508.85",79.97M,-1.04%
2018年4月5日,"1,527.22","1,500.07","1,527.44","1,500.07",95.40M,2.18%
2018年4月4日,"1,494.65","1,509.30","1,511.69","1,482.22",96.49M,-0.94%
2018年4月3日,"1,508.80","1,533.19","1,533.19","1,504.07",117.20M,-1.73%
2018年3月29日,"1,535.35","1,513.19","1,537.25","1,513.19",56.84M,1.54%
2018年3月28日,"1,512.13","1,506.32","1,512.13","1,484.14",118.72M,0.13%
2018年3月27日,"1,510.11","1,496.72","1,517.55","1,495.08",118.96M,0.90%
2018年3月26日,"1,496.59","1,513.42","1,519.79","1,493.80",90.74M,-1.10%
2018年3月23日,"1,513.18","1,513.47","1,520.66","1,493.12",101.82M,-0.18%
2018年3月22日,"1,515.84","1,547.62","1,547.62","1,508.86",106.49M,-2.18%
2018年3月21日,"1,549.70","1,552.42","1,553.18","1,543.26",86.46M,-0.15%
2018年3月20日,"1,551.97","1,548.88","1,556.07","1,542.30",86.87M,0.29%
2018年3月19日,"1,547.41","1,573.27","1,573.27","1,545.78",105.01M,-1.66%
2018年3月16日,"1,573.48","1,592.49","1,593.43","1,572.58",127.39M,-1.18%
2018年3月15日,"1,592.28","1,586.06","1,592.28","1,580.19",109.18M,0.44%
2018年3月14日,"1,585.31","1,578.63","1,598.35","1,578.63",91.70M,0.45%
2018年3月13日,"1,578.15","1,593.88","1,603.34","1,575.23",88.14M,-0.98%
2018年3月12日,"1,593.83","1,590.88","1,602.26","1,589.17",77.26M,0.26%
2018年3月9日,"1,589.62","1,586.03","1,592.77","1,580.38",93.71M,0.26%
2018年3月8日,"1,585.53","1,564.18","1,586.22","1,564.18",101.35M,1.36%
2018年3月7日,"1,564.19","1,558.50","1,564.19","1,548.01",112.48M,0.27%
2018年3月6日,"1,559.94","1,551.20","1,569.74","1,551.20",98.67M,0.78%
2018年3月5日,"1,547.94","1,525.80","1,548.03","1,524.26",94.13M,1.41%
2018年3月2日,"1,526.46","1,559.50","1,559.50","1,525.37",90.77M,-2.19%
2018年3月1日,"1,560.56","1,583.23","1,583.23","1,560.56",95.40M,-1.44%
2018年2月28日,"1,583.39","1,586.86","1,594.51","1,580.95",103.52M,-0.30%
2018年2月27日,"1,588.23","1,588.20","1,595.35","1,583.52",73.82M,0.08%
2018年2月26日,"1,586.96","1,578.87","1,591.59","1,578.87",75.27M,0.62%
2018年2月23日,"1,577.11","1,574.51","1,580.14","1,567.95",80.51M,0.21%
2018年2月22日,"1,573.88","1,573.37","1,575.16","1,556.50",91.19M,-0.08%
2018年2月21日,"1,575.12","1,569.32","1,577.74","1,557.71",89.97M,0.35%
2018年2月20日,"1,569.68","1,550.91","1,570.36","1,550.91",88.86M,1.21%
2018年2月19日,"1,550.86","1,558.37","1,562.46","1,549.01",67.65M,-0.39%
2018年2月16日,"1,556.93","1,545.46","1,557.30","1,545.46",95.99M,0.92%
2018年2月15日,"1,542.72","1,533.30","1,550.28","1,533.30",112.91M,0.69%
2018年2月14日,"1,532.15","1,516.33","1,533.70","1,503.37",135.24M,1.25%
2018年2月13日,"1,513.27","1,522.13","1,527.17","1,513.23",100.29M,-0.55%
2018年2月12日,"1,521.62","1,501.50","1,531.86","1,501.50",143.19M,1.43%
2018年2月9日,"1,500.18","1,518.69","1,523.45","1,499.74",132.86M,-1.29%
2018年2月8日,"1,519.77","1,550.44","1,550.44","1,519.77",130.78M,-2.02%
2018年2月7日,"1,551.15","1,513.57","1,555.29","1,513.57",144.32M,2.62%
2018年2月6日,"1,511.60","1,535.28","1,535.28","1,487.95",196.25M,-2.25%
2018年2月5日,"1,546.33","1,581.69","1,581.69","1,545.56",148.70M,-2.43%
2018年2月2日,"1,584.79","1,601.77","1,602.02","1,581.04",128.76M,-1.06%
2018年2月1日,"1,601.84","1,596.01","1,610.28","1,596.01",133.77M,0.55%
2018年1月31日,"1,593.15","1,605.43","1,613.16","1,592.39",199.25M,-0.63%
2018年1月30日,"1,603.31","1,609.70","1,612.24","1,602.29",112.18M,-0.44%
2018年1月29日,"1,610.40","1,611.90","1,620.46","1,608.51",107.74M,-0.14%
2018年1月26日,"1,612.63","1,606.61","1,614.60","1,601.73",131.19M,0.51%
2018年1月25日,"1,604.49","1,630.00","1,630.00","1,600.89",155.41M,-1.64%
2018年1月24日,"1,631.20","1,644.24","1,645.06","1,629.98",84.28M,-0.76%
2018年1月23日,"1,643.71","1,636.77","1,647.69","1,636.77",89.62M,0.50%
2018年1月22日,"1,635.47","1,631.15","1,639.05","1,628.70",80.62M,0.30%
2018年1月19日,"1,630.62","1,624.12","1,631.63","1,623.63",89.10M,0.36%
2018年1月18日,"1,624.78","1,623.18","1,630.54","1,619.88",95.07M,0.12%
