日期,收盘,开盘,高,低,交易量,涨跌幅
2012年8月28日,"12,009.90","12,060.96","12,080.51","12,005.34",136.83M,-0.32%
2012年8月27日,"12,048.82","12,097.86","12,100.16","12,030.63",95.74M,-0.28%
2012年8月24日,"12,082.23","12,038.97","12,130.47","12,036.51",107.86M,0.16%
2012年8月23日,"12,062.51","12,128.79","12,125.98","12,033.55",155.45M,-0.47%
2012年8月22日,"12,118.99","12,102.07","12,125.84","12,034.10",137.48M,0.02%
2012年8月21日,"12,116.92","12,134.21","12,196.77","12,091.48",164.79M,0.34%
2012年8月20日,"12,076.03","12,088.87","12,100.04","12,034.23",106.62M,-0.11%
2012年8月17日,"12,089.89","12,054.81","12,089.89","12,034.88",122.09M,0.48%
2012年8月16日,"12,032.58","11,938.96","12,032.58","11,918.08",141.99M,1.07%
2012年8月15日,"11,905.44","11,851.93","11,914.76","11,841.57",159.67M,0.44%
2012年8月14日,"11,853.61","11,865.48","11,899.45","11,838.42",134.99M,0.13%
2012年8月13日,"11,838.33","11,898.30","11,913.13","11,802.86",126.55M,-0.44%
2012年8月10日,"11,890.89","11,841.98","11,890.89","11,816.71",131.49M,0.28%
2012年8月9日,"11,858.13","11,799.52","11,882.84","11,788.19",145.39M,0.65%
2012年8月8日,"11,781.04","11,861.29","11,884.21","11,780.19",166.14M,-0.70%
2012年8月7日,"11,863.50","11,764.23","11,874.66","11,666.18",151.85M,1.72%
2012年8月3日,"11,662.59","11,635.04","11,687.65","11,512.16",125.81M,1.36%
2012年8月2日,"11,506.50","11,556.28","11,611.16","11,475.43",149.73M,-0.96%
2012年8月1日,"11,618.53","11,693.11","11,693.11","11,600.94",156.66M,-0.40%
2012年7月31日,"11,664.71","11,795.83","11,797.29","11,651.82",159.36M,-0.79%
2012年7月30日,"11,757.88","11,763.81","11,803.78","11,724.34",148.42M,-0.07%
2012年7月27日,"11,766.36","11,695.88","11,802.51","11,640.22",213.59M,1.09%
2012年7月26日,"11,639.75","11,527.96","11,655.39","11,492.51",214.68M,1.28%
2012年7月25日,"11,492.51","11,510.62","11,519.58","11,428.67",160.60M,0.22%
2012年7月24日,"11,466.95","11,555.56","11,577.63","11,441.70",158.28M,-0.68%
2012年7月23日,"11,545.54","11,535.43","11,609.89","11,416.49",198.82M,-0.67%
