日期,收盘,开盘,高,低,交易量,涨跌幅
2018年8月15日,"5,417.05","5,505.37","5,506.02","5,405.32",38.59M,-1.59%
2018年8月14日,"5,504.50","5,539.57","5,541.93","5,496.99",51.03M,-0.59%
2018年8月13日,"5,537.21","5,590.45","5,593.31","5,481.50",39.42M,-1.62%
2018年8月10日,"5,628.60","5,617.94","5,630.94","5,603.26",45.79M,-0.24%
2018年8月9日,"5,642.35","5,612.38","5,644.37","5,603.44",30.23M,0.11%
2018年8月8日,"5,636.26","5,618.93","5,651.42","5,607.26",31.18M,0.09%
2018年8月7日,"5,630.99","5,610.05","5,642.90","5,605.75",35.23M,0.35%
2018年8月6日,"5,611.54","5,594.67","5,627.29","5,591.35",32.87M,0.31%
2018年8月3日,"5,593.92","5,613.41","5,615.45","5,589.81",38.39M,-0.31%
2018年8月2日,"5,611.57","5,613.13","5,623.29","5,592.05",50.80M,-0.46%
2018年8月1日,"5,637.27","5,614.68","5,637.27","5,613.25",39.66M,0.31%
2018年7月31日,"5,619.80","5,622.59","5,634.23","5,610.31",54.73M,-0.14%
2018年7月30日,"5,627.74","5,618.15","5,640.49","5,614.22",33.00M,0.22%
2018年7月27日,"5,615.27","5,559.42","5,636.13","5,559.42",48.10M,0.40%
2018年7月26日,"5,593.01","5,603.95","5,610.09","5,558.90",52.43M,-0.49%
2018年7月25日,"5,620.52","5,604.33","5,643.50","5,604.33",39.35M,0.22%
2018年7月24日,"5,608.27","5,645.20","5,646.28","5,606.37",57.30M,-0.53%
2018年7月23日,"5,638.17","5,621.65","5,655.02","5,610.13",52.17M,0.58%
2018年7月20日,"5,605.51","5,608.22","5,621.89","5,580.52",49.12M,-0.22%
2018年7月19日,"5,617.80","5,617.85","5,628.68","5,600.77",30.74M,-0.10%
2018年7月18日,"5,623.32","5,631.34","5,639.21","5,609.13",33.26M,-0.26%
2018年7月17日,"5,638.26","5,612.26","5,642.30","5,597.22",37.43M,0.31%
2018年7月16日,"5,620.74","5,614.23","5,660.82","5,611.73",35.76M,0.02%
2018年7月13日,"5,619.49","5,632.55","5,644.10","5,614.30",34.28M,-0.26%
2018年7月12日,"5,633.88","5,635.94","5,661.87","5,628.19",40.88M,-0.05%
2018年7月11日,"5,636.79","5,640.39","5,655.88","5,628.32",35.09M,-0.44%
2018年7月10日,"5,661.81","5,641.84","5,686.45","5,638.59",44.79M,0.34%
2018年7月9日,"5,642.86","5,614.82","5,653.40","5,606.70",45.59M,0.77%
2018年7月6日,"5,599.76","5,569.66","5,599.76","5,563.61",45.45M,0.55%
2018年7月5日,"5,569.36","5,520.06","5,572.97","5,515.88",52.93M,0.98%
2018年7月4日,"5,515.24","5,489.37","5,521.93","5,474.90",31.99M,0.50%
2018年7月3日,"5,487.72","5,517.36","5,523.66","5,477.27",51.66M,-0.01%
2018年7月2日,"5,488.34","5,476.58","5,515.89","5,451.45",56.82M,-0.73%
2018年6月29日,"5,528.50","5,566.10","5,581.99","5,524.15",71.62M,-0.47%
2018年6月28日,"5,554.33","5,592.64","5,612.97","5,540.07",59.26M,-0.67%
2018年6月27日,"5,591.62","5,574.95","5,609.13","5,532.60",72.19M,0.35%
2018年6月26日,"5,572.36","5,554.98","5,599.34","5,554.98",43.63M,0.79%
2018年6月25日,"5,528.75","5,557.72","5,584.22","5,528.75",40.19M,-0.84%
2018年6月22日,"5,575.41","5,493.19","5,580.66","5,492.47",66.94M,1.90%
2018年6月21日,"5,471.65","5,538.96","5,554.75","5,471.65",77.21M,-1.13%
2018年6月20日,"5,533.95","5,561.85","5,570.09","5,533.95",64.57M,-0.19%
2018年6月19日,"5,544.50","5,520.95","5,570.66","5,506.39",81.37M,-0.45%
2018年6月18日,"5,569.83","5,560.23","5,574.13","5,540.72",57.14M,0.01%
2018年6月15日,"5,569.17","5,639.06","5,649.91","5,569.17",153.61M,-1.91%
2018年6月14日,"5,677.81","5,666.27","5,701.90","5,616.81",67.06M,-0.10%
2018年6月13日,"5,683.46","5,667.85","5,697.27","5,663.30",50.26M,0.36%
2018年6月12日,"5,662.93","5,677.65","5,680.56","5,656.23",80.47M,0.32%
2018年6月11日,"5,644.59","5,636.63","5,657.51","5,611.92",80.43M,0.52%
2018年6月8日,"5,615.38","5,595.53","5,630.84","5,594.34",50.46M,-0.16%
2018年6月7日,"5,624.61","5,638.41","5,654.17","5,608.39",63.89M,0.20%
2018年6月6日,"5,613.46","5,606.75","5,630.84","5,586.74",80.48M,0.52%
