日期,收盘,开盘,高,低,交易量,涨跌幅
2021年3月30日,"1,455.03","1,460.19","1,461.00","1,450.44",8.95M,0.07%
2021年3月29日,"1,454.07","1,447.06","1,455.80","1,435.72",9.07M,1.02%
2021年3月26日,"1,439.35","1,422.78","1,439.41","1,422.04",10.82M,1.37%
2021年3月25日,"1,419.83","1,410.93","1,422.45","1,406.08",11.00M,0.26%
2021年3月24日,"1,416.13","1,426.58","1,434.86","1,415.48",12.15M,-1.48%
2021年3月23日,"1,437.35","1,447.55","1,451.76","1,437.35",12.36M,-0.90%
2021年3月22日,"1,450.40","1,435.56","1,454.85","1,428.78",9.46M,0.70%
2021年3月19日,"1,440.32","1,428.51","1,445.24","1,425.22",19.44M,0.02%
2021年3月18日,"1,440.06","1,443.46","1,445.40","1,422.13",13.69M,0.21%
2021年3月17日,"1,437.08","1,461.99","1,465.03","1,429.95",13.73M,-1.99%
2021年3月16日,"1,466.29","1,452.09","1,467.51","1,448.19",12.73M,1.25%
2021年3月15日,"1,448.14","1,445.49","1,452.35","1,441.32",11.38M,0.93%
2021年3月12日,"1,434.78","1,447.84","1,449.52","1,431.82",11.66M,-1.15%
2021年3月11日,"1,451.52","1,438.22","1,458.47","1,433.57",16.22M,0.84%
2021年3月10日,"1,439.45","1,424.86","1,443.41","1,414.09",13.55M,1.13%
2021年3月9日,"1,423.32","1,387.37","1,429.14","1,384.06",16.07M,2.84%
2021年3月8日,"1,384.00","1,385.26","1,387.46","1,362.94",13.56M,1.37%
2021年3月5日,"1,365.35","1,376.60","1,382.98","1,365.35",16.08M,-1.50%
2021年3月4日,"1,386.18","1,399.19","1,406.87","1,379.99",18.99M,-1.19%
2021年3月3日,"1,402.87","1,439.56","1,440.39","1,398.77",13.69M,-2.41%
2021年3月2日,"1,437.47","1,447.49","1,456.26","1,437.28",10.02M,-0.61%
2021年3月1日,"1,446.24","1,436.83","1,448.65","1,436.83",11.72M,1.74%
2021年2月26日,"1,421.46","1,427.95","1,443.33","1,413.30",15.09M,-1.22%
2021年2月25日,"1,438.97","1,437.07","1,446.15","1,433.98",12.27M,0.97%
2021年2月24日,"1,425.09","1,422.11","1,439.23","1,418.54",10.68M,-0.24%
2021年2月23日,"1,428.56","1,457.33","1,460.18","1,412.07",13.17M,-1.88%
2021年2月22日,"1,455.90","1,478.57","1,478.64","1,455.90",7.94M,-1.91%
2021年2月19日,"1,484.24","1,492.18","1,493.29","1,474.33",10.66M,-0.36%
2021年2月18日,"1,489.55","1,508.80","1,516.23","1,488.20",9.14M,-1.32%
2021年2月17日,"1,509.43","1,505.44","1,512.78","1,495.67",9.31M,-0.15%
2021年2月16日,"1,511.68","1,516.00","1,517.76","1,510.25",8.04M,-0.15%
2021年2月15日,"1,513.95","1,513.64","1,515.54","1,504.81",8.86M,0.86%
2021年2月12日,"1,500.99","1,486.57","1,502.16","1,481.11",11.39M,1.64%
2021年2月11日,"1,476.84","1,441.96","1,478.78","1,440.80",10.77M,2.76%
2021年2月10日,"1,437.14","1,454.85","1,456.97","1,432.67",13.00M,-1.49%
2021年2月9日,"1,458.88","1,465.11","1,468.83","1,457.68",13.08M,-0.60%
2021年2月8日,"1,467.62","1,480.08","1,482.66","1,465.23",12.08M,-0.50%
2021年2月5日,"1,474.98","1,474.18","1,483.16","1,468.45",13.66M,0.43%
2021年2月4日,"1,468.60","1,480.41","1,499.10","1,467.19",14.05M,-0.76%
2021年2月3日,"1,479.82","1,481.71","1,493.85","1,475.27",14.28M,1.00%
2021年2月2日,"1,465.16","1,448.61","1,469.26","1,444.50",12.76M,1.52%
2021年2月1日,"1,443.16","1,431.32","1,448.74","1,427.93",11.36M,1.67%
2021年1月29日,"1,419.46","1,431.18","1,436.80","1,417.53",14.98M,-2.13%
2021年1月28日,"1,450.37","1,422.46","1,454.11","1,388.83",21.79M,0.70%
2021年1月27日,"1,440.33","1,471.34","1,471.94","1,424.47",25.23M,-2.31%
2021年1月26日,"1,474.39","1,478.38","1,494.22","1,472.61",11.33M,-1.03%
2021年1月25日,"1,489.74","1,491.00","1,492.39","1,475.13",11.76M,0.50%
2021年1月22日,"1,482.27","1,485.74","1,490.29","1,471.12",10.01M,-0.20%
2021年1月21日,"1,485.26","1,488.44","1,498.60","1,482.04",11.74M,0.19%
2021年1月20日,"1,482.38","1,483.43","1,486.22","1,470.52",10.79M,-0.09%
2021年1月19日,"1,483.67","1,471.46","1,485.46","1,469.91",13.86M,1.36%
2021年1月18日,"1,463.76","1,454.17","1,472.97","1,454.17",8.56M,0.27%
2021年1月15日,"1,459.77","1,466.25","1,472.00","1,451.84",13.69M,-0.67%
2021年1月14日,"1,469.58","1,461.78","1,470.02","1,458.20",12.76M,0.42%
2021年1月13日,"1,463.44","1,449.19","1,464.05","1,434.59",14.16M,0.70%
