日期,收盘,开盘,高,低,交易量,涨跌幅
2018年10月16日,"2,216.80","2,176.49","2,216.80","2,176.49",22.09M,2.15%
2018年10月15日,"2,170.05","2,192.17","2,194.50","2,164.36",17.48M,-0.76%
2018年10月12日,"2,186.62","2,174.35","2,195.33","2,174.35",23.95M,1.24%
2018年10月11日,"2,159.88","2,170.37","2,181.01","2,144.00",25.76M,-1.70%
2018年10月10日,"2,197.34","2,254.22","2,257.03","2,192.51",22.30M,-2.40%
2018年10月9日,"2,251.32","2,221.83","2,257.31","2,220.12",19.09M,1.22%
2018年10月8日,"2,224.13","2,259.71","2,259.71","2,224.13",17.48M,-1.77%
2018年10月5日,"2,264.20","2,275.35","2,278.81","2,256.83",23.64M,-0.50%
2018年10月4日,"2,275.65","2,289.13","2,297.06","2,268.78",26.51M,-0.98%
2018年10月3日,"2,298.20","2,288.11","2,305.09","2,283.55",24.32M,0.80%
2018年10月2日,"2,280.04","2,272.46","2,280.04","2,259.38",17.25M,-0.17%
2018年10月1日,"2,284.01","2,290.80","2,320.98","2,281.78",13.92M,-0.05%
2018年9月28日,"2,285.11","2,304.24","2,310.37","2,258.47",27.17M,-1.29%
2018年9月27日,"2,315.07","2,300.58","2,315.07","2,284.49",20.97M,0.46%
2018年9月26日,"2,304.45","2,292.73","2,304.45","2,285.30",18.93M,0.62%
2018年9月25日,"2,290.19","2,285.80","2,310.95","2,280.16",20.45M,0.42%
2018年9月24日,"2,280.60","2,261.65","2,283.58","2,261.65",23.65M,1.02%
2018年9月21日,"2,257.47","2,266.96","2,286.76","2,256.52",143.57M,-0.05%
2018年9月20日,"2,258.63","2,261.41","2,272.24","2,253.60",26.68M,-0.02%
2018年9月19日,"2,259.10","2,239.49","2,269.89","2,221.57",31.90M,1.26%
2018年9月18日,"2,231.04","2,209.74","2,248.51","2,209.74",20.44M,0.91%
2018年9月17日,"2,210.99","2,230.43","2,231.99","2,209.37",21.58M,-0.94%
2018年9月14日,"2,232.07","2,243.41","2,250.02","2,217.53",16.89M,-0.06%
2018年9月13日,"2,233.46","2,213.26","2,250.11","2,213.26",23.60M,1.05%
2018年9月12日,"2,210.16","2,252.17","2,264.81","2,210.16",38.31M,-1.70%
2018年9月11日,"2,248.35","2,262.79","2,271.93","2,234.38",27.93M,-0.99%
2018年9月10日,"2,270.83","2,258.76","2,274.96","2,251.92",19.00M,0.60%
2018年9月7日,"2,257.30","2,294.98","2,303.91","2,253.47",24.02M,-1.56%
2018年9月6日,"2,293.01","2,291.67","2,313.51","2,290.73",22.39M,-0.11%
2018年9月5日,"2,295.51","2,320.80","2,325.39","2,295.51",32.08M,-1.11%
2018年9月4日,"2,321.24","2,361.39","2,377.02","2,312.13",25.19M,-1.46%
2018年9月3日,"2,355.67","2,340.08","2,370.82","2,337.21",14.02M,0.76%
2018年8月31日,"2,337.96","2,348.60","2,352.70","2,333.37",23.79M,-0.68%
2018年8月30日,"2,353.92","2,381.65","2,387.65","2,352.67",24.80M,-1.12%
2018年8月29日,"2,380.68","2,386.53","2,390.36","2,375.47",25.96M,-0.41%
2018年8月28日,"2,390.42","2,374.80","2,395.77","2,361.78",19.47M,0.86%
2018年8月27日,"2,369.97","2,318.85","2,372.83","2,318.85",17.89M,2.48%
2018年8月24日,"2,312.70","2,322.94","2,322.94","2,308.45",15.80M,-0.44%
2018年8月23日,"2,322.86","2,295.14","2,331.93","2,285.59",27.52M,1.19%
2018年8月22日,"2,295.63","2,275.86","2,308.85","2,272.72",20.83M,0.64%
2018年8月21日,"2,281.02","2,241.25","2,286.19","2,241.25",14.06M,2.01%
2018年8月20日,"2,236.08","2,225.55","2,243.71","2,225.55",16.51M,0.83%
2018年8月17日,"2,217.74","2,265.39","2,265.39","2,217.74",16.08M,-1.96%
2018年8月16日,"2,262.10","2,262.45","2,268.24","2,244.42",18.81M,-0.47%
2018年8月14日,"2,272.73","2,268.70","2,285.87","2,252.28",12.66M,0.52%
2018年8月13日,"2,260.88","2,243.43","2,271.34","2,230.73",16.50M,0.61%
2018年8月10日,"2,247.15","2,308.65","2,308.65","2,247.15",24.70M,-3.34%
2018年8月9日,"2,324.73","2,308.44","2,324.73","2,292.39",13.23M,0.76%
2018年8月8日,"2,307.12","2,321.55","2,331.79","2,301.11",21.39M,0.13%
2018年8月7日,"2,304.11","2,295.30","2,309.59","2,291.68",11.83M,0.36%
2018年8月6日,"2,295.82","2,290.10","2,295.82","2,267.30",8.41M,0.39%
2018年8月3日,"2,286.92","2,284.28","2,301.97","2,277.56",10.68M,0.13%
2018年8月2日,"2,283.94","2,309.85","2,309.85","2,278.44",14.95M,-1.36%
2018年8月1日,"2,315.48","2,304.04","2,315.48","2,278.54",19.27M,0.58%
2018年7月31日,"2,302.13","2,322.89","2,327.20","2,294.90",22.47M,-1.10%
2018年7月30日,"2,327.77","2,289.23","2,327.77","2,281.26",15.67M,1.62%
2018年7月27日,"2,290.77","2,306.43","2,309.18","2,285.08",13.81M,-0.60%
2018年7月26日,"2,304.67","2,263.96","2,309.86","2,263.96",21.76M,1.94%
2018年7月25日,"2,260.70","2,250.61","2,268.20","2,236.63",15.24M,0.73%
2018年7月24日,"2,244.27","2,209.65","2,249.28","2,209.65",21.41M,1.80%
2018年7月23日,"2,204.53","2,189.20","2,213.88","2,184.77",17.75M,0.99%
2018年7月20日,"2,182.92","2,142.09","2,182.92","2,138.68",24.53M,1.68%
2018年7月19日,"2,146.82","2,137.60","2,150.64","2,127.36",19.91M,-0.11%
2018年7月18日,"2,149.12","2,155.27","2,167.04","2,140.81",15.72M,-0.19%
2018年7月17日,"2,153.21","2,141.57","2,154.62","2,132.06",16.47M,0.90%
2018年7月16日,"2,133.98","2,155.15","2,165.93","2,133.98",9.57M,-1.07%
2018年7月13日,"2,157.14","2,169.37","2,173.75","2,147.66",11.28M,-0.19%
2018年7月12日,"2,161.20","2,160.13","2,169.94","2,157.49",13.20M,0.32%
2018年7月11日,"2,154.28","2,171.87","2,171.87","2,150.88",13.98M,-1.07%
2018年7月10日,"2,177.67","2,154.32","2,194.86","2,144.66",20.83M,1.21%
2018年7月9日,"2,151.70","2,162.62","2,174.69","2,141.14",11.23M,-0.02%
2018年7月6日,"2,152.06","2,158.24","2,165.15","2,148.83",14.27M,-0.21%
2018年7月5日,"2,156.59","2,164.27","2,184.32","2,154.51",13.92M,-1.19%
2018年7月4日,"2,182.51","2,156.43","2,182.51","2,156.39",9.61M,1.03%
2018年7月3日,"2,160.24","2,125.36","2,162.03","2,123.69",12.36M,1.93%
2018年7月2日,"2,119.31","2,119.70","2,125.11","2,097.76",15.84M,-0.76%
2018年6月29日,"2,135.47","2,111.05","2,135.47","2,111.05",21.96M,1.75%
2018年6月28日,"2,098.75","2,141.71","2,141.71","2,096.93",19.64M,-2.08%
2018年6月27日,"2,143.25","2,149.33","2,154.87","2,129.80",19.42M,-0.47%
2018年6月26日,"2,153.40","2,156.24","2,174.11","2,151.81",18.25M,-0.12%
2018年6月25日,"2,155.90","2,154.93","2,177.65","2,149.03",18.59M,-0.32%
2018年6月22日,"2,162.88","2,158.13","2,174.15","2,155.02",21.10M,0.56%
2018年6月21日,"2,150.91","2,159.39","2,167.56","2,127.92",19.89M,-0.15%
2018年6月20日,"2,154.18","2,126.96","2,176.46","2,126.96",16.67M,1.58%
2018年6月19日,"2,120.75","2,137.66","2,137.66","2,108.10",23.46M,-1.41%
2018年6月18日,"2,150.98","2,203.75","2,209.50","2,146.34",15.52M,-2.36%
2018年6月15日,"2,203.01","2,240.09","2,245.12","2,203.01",47.62M,-1.58%
2018年6月14日,"2,238.39","2,232.51","2,247.99","2,219.84",18.22M,-0.02%
2018年6月13日,"2,238.94","2,256.86","2,256.86","2,227.14",23.77M,-0.60%
2018年6月12日,"2,252.39","2,237.53","2,256.63","2,235.84",17.69M,0.80%
2018年6月11日,"2,234.52","2,259.61","2,266.29","2,229.68",13.89M,-0.69%
2018年6月8日,"2,250.06","2,260.53","2,260.53","2,244.42",17.55M,-0.91%
2018年6月7日,"2,270.75","2,267.32","2,287.02","2,260.17",24.58M,0.62%
2018年6月6日,"2,256.67","2,259.34","2,266.11","2,247.02",23.62M,0.03%
2018年6月5日,"2,255.95","2,217.10","2,255.95","2,197.38",24.15M,2.07%
2018年6月4日,"2,210.10","2,198.46","2,221.05","2,198.35",20.71M,0.91%
2018年6月1日,"2,190.26","2,158.00","2,190.26","2,144.73",30.13M,1.54%
2018年5月30日,"2,157.07","2,186.58","2,186.58","2,151.50",159.37M,-1.59%
2018年5月29日,"2,191.95","2,208.65","2,208.65","2,161.35",36.31M,-1.17%
2018年5月28日,"2,217.87","2,214.87","2,232.88","2,204.55",12.35M,0.21%
2018年5月25日,"2,213.24","2,216.49","2,226.00","2,196.02",29.69M,0.00%
2018年5月24日,"2,213.26","2,212.23","2,241.43","2,208.72",30.16M,0.18%
2018年5月23日,"2,209.32","2,242.19","2,242.19","2,200.81",28.55M,-1.75%
2018年5月22日,"2,248.71","2,267.88","2,269.15","2,237.66",19.61M,-0.87%
2018年5月21日,"2,268.39","2,231.47","2,272.61","2,231.47",16.85M,1.71%
2018年5月18日,"2,230.32","2,256.15","2,268.61","2,222.17",21.80M,-1.13%
2018年5月17日,"2,255.78","2,269.54","2,280.22","2,253.60",23.79M,-0.88%
2018年5月16日,"2,275.91","2,278.96","2,278.96","2,254.88",21.01M,-0.02%
2018年5月15日,"2,276.45","2,311.71","2,311.71","2,273.50",37.03M,-1.92%
2018年5月14日,"2,321.09","2,328.58","2,333.07","2,308.97",15.06M,-0.36%
2018年5月11日,"2,329.36","2,303.97","2,329.36","2,299.44",16.77M,1.16%
2018年5月10日,"2,302.71","2,292.11","2,311.55","2,279.41",26.55M,0.95%
2018年5月9日,"2,281.12","2,236.49","2,282.00","2,236.49",22.33M,2.00%
2018年5月8日,"2,236.40","2,215.62","2,236.40","2,210.68",26.74M,1.00%
2018年5月7日,"2,214.36","2,242.80","2,251.42","2,213.06",11.50M,-0.85%
2018年5月4日,"2,233.35","2,280.50","2,280.50","2,227.94",18.29M,-2.56%
2018年5月2日,"2,291.92","2,291.87","2,306.05","2,284.35",15.07M,0.00%
2018年4月30日,"2,291.87","2,277.25","2,298.23","2,277.11",12.11M,0.68%
2018年4月27日,"2,276.41","2,286.49","2,291.15","2,271.05",16.39M,-0.30%
2018年4月26日,"2,283.15","2,257.11","2,284.31","2,253.30",18.87M,1.16%
2018年4月25日,"2,257.00","2,266.88","2,276.97","2,253.15",20.47M,-0.53%
2018年4月24日,"2,269.06","2,296.24","2,315.26","2,269.06",20.94M,-0.98%
2018年4月23日,"2,291.59","2,299.31","2,309.34","2,289.68",17.63M,-0.29%
2018年4月20日,"2,298.20","2,322.32","2,334.22","2,298.20",21.45M,-1.14%
2018年4月19日,"2,324.73","2,310.94","2,341.94","2,308.03",17.01M,0.40%
2018年4月18日,"2,315.50","2,306.43","2,316.06","2,293.11",20.96M,0.33%
2018年4月17日,"2,307.95","2,304.58","2,310.61","2,291.39",16.63M,0.34%
2018年4月16日,"2,300.20","2,311.13","2,313.96","2,291.08",10.68M,-0.44%
2018年4月13日,"2,310.32","2,310.75","2,321.97","2,304.72",18.52M,0.17%
2018年4月12日,"2,306.44","2,270.78","2,310.67","2,267.99",21.92M,1.52%
2018年4月11日,"2,271.93","2,274.22","2,287.53","2,254.20",25.20M,-0.13%
2018年4月10日,"2,274.81","2,280.21","2,287.35","2,253.65",30.39M,0.56%
2018年4月9日,"2,262.16","2,261.72","2,288.20","2,248.23",23.03M,0.15%
2018年4月6日,"2,258.80","2,244.33","2,268.22","2,231.61",16.92M,0.68%
2018年4月5日,"2,243.58","2,222.86","2,247.25","2,222.86",16.92M,1.94%
2018年4月4日,"2,200.99","2,238.25","2,238.25","2,197.99",20.73M,-1.70%
2018年4月3日,"2,239.15","2,211.17","2,249.40","2,199.53",18.92M,1.30%
2018年3月29日,"2,210.38","2,215.94","2,227.06","2,210.26",17.31M,0.30%
2018年3月28日,"2,203.70","2,238.85","2,238.85","2,192.91",28.63M,-1.90%
2018年3月27日,"2,246.32","2,258.98","2,283.33","2,246.32",19.03M,0.25%
2018年3月26日,"2,240.65","2,260.83","2,270.45","2,238.74",16.79M,-0.73%
2018年3月23日,"2,257.22","2,254.88","2,265.16","2,230.87",22.17M,-0.74%
2018年3月22日,"2,274.10","2,313.07","2,329.54","2,266.96",28.59M,-2.01%
2018年3月21日,"2,320.77","2,268.87","2,322.94","2,268.87",26.44M,2.14%
2018年3月20日,"2,272.09","2,250.26","2,278.69","2,237.96",22.18M,1.05%
2018年3月19日,"2,248.53","2,285.14","2,291.00","2,248.53",16.20M,-1.60%
2018年3月16日,"2,285.08","2,320.19","2,324.41","2,280.75",62.26M,-1.58%
2018年3月15日,"2,321.87","2,343.78","2,354.45","2,319.47",21.05M,-0.60%
2018年3月14日,"2,335.97","2,353.74","2,355.06","2,332.48",28.55M,-0.72%
2018年3月13日,"2,353.02","2,379.28","2,380.12","2,349.35",23.99M,-1.08%
2018年3月12日,"2,378.72","2,362.62","2,380.48","2,359.56",17.17M,1.03%
2018年3月9日,"2,354.54","2,322.03","2,354.54","2,295.87",23.88M,1.40%
2018年3月8日,"2,322.09","2,362.53","2,362.53","2,320.21",23.04M,-1.59%
2018年3月7日,"2,359.57","2,327.37","2,363.38","2,317.42",25.35M,0.86%
2018年3月6日,"2,339.51","2,344.54","2,351.07","2,331.30",18.83M,0.40%
2018年3月5日,"2,330.10","2,303.10","2,330.10","2,296.48",14.02M,0.69%
2018年3月2日,"2,314.23","2,327.98","2,330.15","2,298.69",23.19M,-0.89%
2018年3月1日,"2,334.96","2,361.73","2,365.51","2,316.63",30.07M,-1.24%
2018年2月28日,"2,364.32","2,410.71","2,410.71","2,364.32",34.96M,-2.36%
2018年2月27日,"2,421.51","2,417.07","2,429.65","2,411.49",23.94M,0.53%
2018年2月26日,"2,408.63","2,418.02","2,429.68","2,403.09",11.84M,0.10%
2018年2月23日,"2,406.11","2,412.41","2,427.26","2,393.61",16.01M,-0.19%
2018年2月22日,"2,410.69","2,389.87","2,416.42","2,372.06",26.23M,0.22%
2018年2月21日,"2,405.47","2,409.27","2,411.07","2,392.71",18.15M,-0.32%
2018年2月20日,"2,413.23","2,404.56","2,415.33","2,392.16",7.94M,0.20%
2018年2月19日,"2,408.49","2,409.93","2,420.91","2,399.39",7.44M,0.06%
2018年2月16日,"2,406.96","2,445.40","2,448.61","2,396.54",13.45M,-0.69%
2018年2月15日,"2,423.57","2,461.15","2,473.58","2,423.57",17.93M,-1.07%
2018年2月14日,"2,449.79","2,439.12","2,449.79","2,413.79",19.55M,0.75%
2018年2月13日,"2,431.67","2,417.65","2,431.67","2,416.23",19.28M,0.71%
2018年2月12日,"2,414.41","2,402.18","2,430.88","2,402.18",15.32M,1.33%
2018年2月9日,"2,382.79","2,396.78","2,409.64","2,375.41",32.36M,-0.98%
2018年2月8日,"2,406.48","2,440.29","2,445.80","2,406.48",21.04M,-1.44%
2018年2月7日,"2,441.67","2,426.89","2,441.67","2,421.19",26.69M,1.23%
2018年2月6日,"2,412.03","2,445.53","2,450.47","2,401.89",32.49M,-3.75%
2018年2月5日,"2,505.98","2,492.39","2,508.70","2,482.56",17.94M,-0.05%
2018年2月2日,"2,507.24","2,526.55","2,530.02","2,502.95",17.74M,-1.06%
2018年2月1日,"2,534.21","2,558.83","2,580.23","2,511.05",17.53M,-0.77%
2018年1月31日,"2,553.81","2,565.29","2,577.48","2,553.81",17.99M,-0.48%
2018年1月30日,"2,566.14","2,581.75","2,581.75","2,557.59",17.76M,-1.05%
2018年1月29日,"2,593.40","2,599.20","2,607.83","2,583.40",14.46M,-0.27%
2018年1月26日,"2,600.48","2,592.23","2,601.99","2,587.26",19.19M,0.43%
2018年1月25日,"2,589.30","2,614.92","2,616.47","2,587.95",20.92M,-1.23%
2018年1月24日,"2,621.59","2,629.40","2,630.21","2,606.34",19.31M,-0.33%
2018年1月23日,"2,630.37","2,629.53","2,650.16","2,613.07",28.51M,0.36%
2018年1月22日,"2,620.87","2,600.44","2,621.93","2,599.95",17.12M,0.73%
2018年1月19日,"2,601.82","2,592.75","2,604.46","2,589.89",14.91M,0.41%
2018年1月18日,"2,591.22","2,604.79","2,610.63","2,591.22",17.71M,-0.35%
2018年1月17日,"2,600.37","2,587.72","2,606.59","2,584.69",20.61M,0.36%
2018年1月16日,"2,591.10","2,541.61","2,602.34","2,529.68",30.69M,1.91%
2018年1月15日,"2,542.65","2,535.37","2,546.66","2,523.83",9.11M,0.13%
2018年1月12日,"2,539.29","2,536.81","2,550.79","2,527.02",17.34M,0.19%
2018年1月11日,"2,534.56","2,517.35","2,534.56","2,504.67",24.59M,0.93%
2018年1月10日,"2,511.27","2,531.05","2,531.60","2,499.76",20.88M,-0.68%
2018年1月9日,"2,528.38","2,552.50","2,555.69","2,522.21",23.98M,-0.79%
2018年1月8日,"2,548.61","2,534.53","2,551.32","2,529.45",20.12M,0.75%
2018年1月5日,"2,529.55","2,530.77","2,538.34","2,514.09",24.86M,-0.14%
2018年1月4日,"2,533.17","2,473.23","2,536.84","2,473.23",30.46M,2.84%
2018年1月3日,"2,463.25","2,463.26","2,474.76","2,430.69",20.68M,0.08%
2017年12月29日,"2,461.21","2,479.48","2,481.71","2,452.07",14.24M,-0.77%
